country_code,year,indicator_name,indicator_code,rule_of_law_estimate,gdp_growth,gdp_constant_2015_usd,life_expectancy,country,period,log_gdp
ARG,1996,Rule of Law: Estimate,RL.EST,0.0755526423454285,5.52668982715234,367643757074.802,73.056,Argentina,1996-2005,26.630380254823777
ARG,1998,Rule of Law: Estimate,RL.EST,-0.0388815775513649,3.85017885156228,412766570325.764,73.412,Argentina,1996-2005,26.74614806509651
ARG,2000,Rule of Law: Estimate,RL.EST,-0.214404493570328,-0.78899893905691,395646066535.875,73.91,Argentina,1996-2005,26.703785877175054
ARG,2002,Rule of Law: Estimate,RL.EST,-0.761098086833954,-10.8944848285903,336999433710.193,74.312,Argentina,1996-2005,26.543347086912178
ARG,2003,Rule of Law: Estimate,RL.EST,-0.777115821838379,8.83704079576924,366780211148.674,74.307,Argentina,1996-2005,26.628028625897016
ARG,2004,Rule of Law: Estimate,RL.EST,-0.767380177974701,9.02957330068152,399898899166.738,74.871,Argentina,1996-2005,26.714477600024047
ARG,2005,Rule of Law: Estimate,RL.EST,-0.557991087436676,8.85165992013437,435296589745.339,75.231,Argentina,1996-2005,26.799293451211028
ARG,2006,Rule of Law: Estimate,RL.EST,-0.57701563835144,8.04715150043027,470325565798.353,75.279,Argentina,2006-2015,26.876690985037307
ARG,2007,Rule of Law: Estimate,RL.EST,-0.60147225856781,9.00765087504757,512690850741.56,74.783,Argentina,2006-2015,26.962938870329246
ARG,2008,Rule of Law: Estimate,RL.EST,-0.699731647968292,4.05723310346406,533491913656.279,75.428,Argentina,2006-2015,27.002709750415484
ARG,2009,Rule of Law: Estimate,RL.EST,-0.694468080997467,-5.91852507634947,501917060966.235,75.577,Argentina,2006-2015,26.94170072578954
ARG,2010,Rule of Law: Estimate,RL.EST,-0.59809422492981,10.1253981561002,552738161802.463,75.68,Argentina,2006-2015,27.038150239543654
ARG,2011,Rule of Law: Estimate,RL.EST,-0.563123285770416,6.00395169280579,585924294024.785,76.1,Argentina,2006-2015,27.096456427093553
ARG,2012,Rule of Law: Estimate,RL.EST,-0.623034238815308,-1.0264204544321,579910247223.428,75.802,Argentina,2006-2015,27.08613918234595
ARG,2013,Rule of Law: Estimate,RL.EST,-0.656328618526459,2.40532378079436,593858966307.156,75.829,Argentina,2006-2015,27.10990769765865
ARG,2014,Rule of Law: Estimate,RL.EST,-0.866627335548401,-2.51261532081394,578937574935.696,76.268,Argentina,2006-2015,27.084460493397238
ARG,2015,Rule of Law: Estimate,RL.EST,-0.74863588809967,2.73115982828944,594749285413.212,76.6,Argentina,2006-2015,27.11140578463773
BRA,1996,Rule of Law: Estimate,RL.EST,-0.223502203822136,2.20886405051482,1090424176256.21,68.108,Brazil,1996-2005,27.717587888998025
BRA,1998,Rule of Law: Estimate,RL.EST,-0.202992081642151,0.338097901952338,1131254256718.86,68.848,Brazil,1996-2005,27.754348094798868
BRA,2000,Rule of Law: Estimate,RL.EST,-0.244871854782104,4.38794944364869,1186418964121.03,69.584,Brazil,1996-2005,27.80196061223529
BRA,2002,Rule of Law: Estimate,RL.EST,-0.266611307859421,3.05346185683619,1239639324869.85,70.396,Brazil,1996-2005,27.84584158619503
BRA,2003,Rule of Law: Estimate,RL.EST,-0.367893666028976,1.14082899877101,1253781489768.13,70.884,Brazil,1996-2005,27.85718529237225
BRA,2004,Rule of Law: Estimate,RL.EST,-0.400920122861862,5.75996463685998,1325998860202.27,71.361,Brazil,1996-2005,27.913187148115885
BRA,2005,Rule of Law: Estimate,RL.EST,-0.475531458854675,3.20213206216255,1368459094848.72,71.832,Brazil,1996-2005,27.94470647447893
BRA,2006,Rule of Law: Estimate,RL.EST,-0.402620196342468,3.96198870899485,1422677289673.84,72.296,Brazil,2006-2015,27.983561627640558
BRA,2007,Rule of Law: Estimate,RL.EST,-0.40977942943573,6.06987060733128,1509031960316.93,72.73,Brazil,2006-2015,28.04248947528913
BRA,2008,Rule of Law: Estimate,RL.EST,-0.288044780492783,5.09419544811998,1585904997750.07,73.111,Brazil,2006-2015,28.0921763368112
BRA,2009,Rule of Law: Estimate,RL.EST,-0.103854693472385,-0.12581200299141,1583909738906.86,73.457,Brazil,2006-2015,28.09091742468384
BRA,2010,Rule of Law: Estimate,RL.EST,0.0564144365489483,7.52822581812151,1703150040806.99,73.779,Brazil,2006-2015,28.163500617549083
BRA,2011,Rule of Law: Estimate,RL.EST,0.0451417230069637,3.97442307944702,1770840429106.43,74.047,Brazil,2006-2015,28.202475368527754
BRA,2012,Rule of Law: Estimate,RL.EST,-0.0769327953457832,1.92117598509462,1804861390164.77,74.335,Brazil,2006-2015,28.221504912612243
BRA,2013,Rule of Law: Estimate,RL.EST,-0.0920452028512955,3.0048226702888,1859094274383.73,74.609,Brazil,2006-2015,28.251110535799306
BRA,2014,Rule of Law: Estimate,RL.EST,-0.0529657602310181,0.503955740273241,1868463286696.58,74.823,Brazil,2006-2015,28.25613743713547
BRA,2015,Rule of Law: Estimate,RL.EST,-0.187332957983017,-3.54576339347278,1802211999456.42,75.106,Brazil,2006-2015,28.220035914952028
CHN,1996,Rule of Law: Estimate,RL.EST,-0.545589983463287,9.97619992053447,2047465483836.55,70.823,China,1996-2005,28.347623794820457
CHN,1998,Rule of Law: Estimate,RL.EST,-0.476805359125137,7.92079207933551,2414864610327.86,71.601,China,1996-2005,28.51266433948551
CHN,2000,Rule of Law: Estimate,RL.EST,-0.51611715555191,8.58643201808462,2825096197799.54,72.288,China,1996-2005,28.669563532265606
CHN,2002,Rule of Law: Estimate,RL.EST,-0.517029762268066,9.24339326638321,3342778183071.46,73.034,China,1996-2005,28.837823368509216
CHN,2003,Rule of Law: Estimate,RL.EST,-0.553043842315674,10.1181928640117,3681006926650.74,73.385,China,1996-2005,28.93420745205437
CHN,2004,Rule of Law: Estimate,RL.EST,-0.585468709468842,10.1314073631003,4053944733453.66,73.727,China,1996-2005,29.0307115312689
CHN,2005,Rule of Law: Estimate,RL.EST,-0.650172889232635,11.458238455067,4518455387849.41,74.085,China,1996-2005,29.13919132301835
CHN,2006,Rule of Law: Estimate,RL.EST,-0.699893414974213,12.6746751655235,5091154930758.42,74.404,China,2006-2015,29.258525822669807
CHN,2007,Rule of Law: Estimate,RL.EST,-0.597397744655609,14.1499854947127,5811552614974.09,74.789,China,2006-2015,29.39086888258535
CHN,2008,Rule of Law: Estimate,RL.EST,-0.479174673557281,9.67024588602851,6373544042638.01,74.833,China,2006-2015,29.483176795420558
CHN,2009,Rule of Law: Estimate,RL.EST,-0.46321377158165,9.40269972778044,6972829250985.1,75.317,China,2006-2015,29.573042176700692
CHN,2010,Rule of Law: Estimate,RL.EST,-0.472601860761642,10.5962719761682,7711689202853.29,75.668,China,2006-2015,29.673758371964812
CHN,2011,Rule of Law: Estimate,RL.EST,-0.453809976577759,9.4613358870736,8441318020902.42,75.889,China,2006-2015,29.76415957595818
CHN,2012,Rule of Law: Estimate,RL.EST,-0.545384466648102,7.85617427055587,9104482675356.36,76.2,China,2006-2015,29.839788009850484
CHN,2013,Rule of Law: Estimate,RL.EST,-0.52588939666748,7.77872409446717,9812695262900.89,76.452,China,2006-2015,29.914698098242997
CHN,2014,Rule of Law: Estimate,RL.EST,-0.396053194999695,7.46190028229434,10544908798424.0,76.714,China,2006-2015,29.98666428102378
CHN,2015,Rule of Law: Estimate,RL.EST,-0.408455699682236,6.97878002657477,11280814787468.9,76.975,China,2006-2015,30.05412459232143
IND,1996,Rule of Law: Estimate,RL.EST,0.313456207513809,7.54952224920051,641058406947.109,61.027,India,1996-2005,27.186386408198274
IND,1998,Rule of Law: Estimate,RL.EST,0.335014313459396,6.18441582172117,708271422053.216,61.852,India,1996-2005,27.286093221656685
IND,2000,Rule of Law: Estimate,RL.EST,0.348079591989517,3.84099115659129,800534479623.61,62.749,India,1996-2005,27.408545441064714
IND,2002,Rule of Law: Estimate,RL.EST,-0.0173958707600832,3.80397532112175,871073127580.09,63.649,India,1996-2005,27.49299176846072
IND,2003,Rule of Law: Estimate,RL.EST,0.120161645114422,7.8603814759073,939542798342.002,64.086,India,1996-2005,27.56865920914448
IND,2004,Rule of Law: Estimate,RL.EST,0.0533560588955879,7.92293661199932,1013982178697.24,64.484,India,1996-2005,27.644906445693824
IND,2005,Rule of Law: Estimate,RL.EST,0.13313016295433,7.92343062148318,1094324353140.52,64.939,India,1996-2005,27.721158259660804
IND,2006,Rule of Law: Estimate,RL.EST,0.178989619016647,8.06073257166651,1182534912713.8,65.373,India,2006-2015,27.79868148137036
IND,2007,Rule of Law: Estimate,RL.EST,0.0968981608748436,7.6608150670107,1273126725479.64,65.803,India,2006-2015,27.87249697923703
IND,2008,Rule of Law: Estimate,RL.EST,0.0958504602313042,3.08669805921981,1312424303406.43,66.247,India,2006-2015,27.9028971561539
IND,2009,Rule of Law: Estimate,RL.EST,0.0179808251559734,7.86188883286074,1415605643155.69,66.7,India,2006-2015,27.97857857181532
IND,2010,Rule of Law: Estimate,RL.EST,-0.0358108207583427,8.49758470221235,1535897931732.14,67.162,India,2006-2015,28.060136297750862
IND,2011,Rule of Law: Estimate,RL.EST,-0.0862971395254135,5.24131619937695,1616399198833.92,67.623,India,2006-2015,28.1112220745022
IND,2012,Rule of Law: Estimate,RL.EST,-0.0628807470202446,5.45638755166587,1704596203504.32,68.076,India,2006-2015,28.164349367825935
IND,2013,Rule of Law: Estimate,RL.EST,-0.0458925999701023,6.38610640094825,1813453530766.63,68.499,India,2006-2015,28.226254171280758
IND,2014,Rule of Law: Estimate,RL.EST,-0.0691893845796585,7.41022760508854,1947834564908.95,68.932,India,2006-2015,28.297739391931085
IND,2015,Rule of Law: Estimate,RL.EST,-0.0707211047410965,7.99625378571471,2103588360044.94,69.326,India,2006-2015,28.37466574529629
KEN,1996,Rule of Law: Estimate,RL.EST,-1.02158069610596,4.14683926876013,34295389782.3606,55.575,Kenya,1996-2005,24.258276773407115
KEN,1998,Rule of Law: Estimate,RL.EST,-1.0281069278717,3.29021372249065,35592009621.64,55.568,Kenya,1996-2005,24.295387000781652
KEN,2000,Rule of Law: Estimate,RL.EST,-0.921858787536621,0.599695390807426,36630908098.8264,56.084,Kenya,1996-2005,24.324158204552592
KEN,2002,Rule of Law: Estimate,RL.EST,-0.966853559017181,0.546859530175595,38223413680.2696,56.759,Kenya,1996-2005,24.366714088365278
KEN,2003,Rule of Law: Estimate,RL.EST,-0.923378527164459,2.93247554570904,39344305939.1787,57.369,Kenya,1996-2005,24.39561709839598
KEN,2004,Rule of Law: Estimate,RL.EST,-0.864229917526245,5.10429977629738,41352557259.2179,57.947,Kenya,1996-2005,24.44540010074127
KEN,2005,Rule of Law: Estimate,RL.EST,-0.880881011486053,5.90666607980057,43795114731.9782,58.51,Kenya,1996-2005,24.502788112308647
KEN,2006,Rule of Law: Estimate,RL.EST,-0.882364630699158,6.47249430015484,46629751036.7518,59.059,Kenya,2006-2015,24.565504608630615
