country_code,period,gdp_growth,rule_of_law_estimate
ARG,1996-2005,3.4873798468075057,-0.4344740861228535
ARG,2006-2025,1.7054515553447889,-0.4712059061881617
BRA,1996-2005,2.8701855643922256,-0.31176038512161786
BRA,2006-2025,2.1369468328765806,-0.25786670824202984
CHN,1996-2005,9.633522280930974,-0.5491753859179359
CHN,2006-2025,7.734710393738672,-0.5270485789529298
IND,1996-2005,6.440807608289218,0.18368601559528266
IND,2006-2025,6.32851269468879,-0.033046312174531044
KEN,1996-2005,3.2181499020058273,-0.9438413466726027
KEN,2006-2025,4.728021239232268,-0.6724475006305892
MEX,1996-2005,3.4371864405442585,-0.4578999025481087
MEX,2006-2025,1.6298171624273783,-0.7221465003050352
NGA,1996-2005,7.165505481622296,-1.3488647256578716
NGA,2006-2025,3.705154867429965,-1.0000661983304877
USA,1996-2005,3.4515523889331488,1.5213916812624242
USA,2006-2025,2.019671511524629,1.3686889476527975
ZAF,1996-2005,3.6401516785812618,0.06456339818292431
ZAF,2006-2025,1.693207780277064,0.0510405386230699
